[2019-10-08 오전 9:00:09] 피봇1차이상 상승 : 900100	뉴프라이드
[2019-10-08 오전 9:08:20] 종목(중복) :	033180
[2019-10-08 오전 9:08:23] 종목(중복) :	033170
[2019-10-08 오전 9:08:24] 종목(중복) :	033170
[2019-10-08 오전 9:08:25] 종목(중복) :	033170
[2019-10-08 오전 9:08:27] 종목(중복) :	084650
[2019-10-08 오전 9:08:28] 종목(중복) :	088290
[2019-10-08 오전 9:08:29] 종목(중복) :	033170
[2019-10-08 오전 9:08:30] 종목(중복) :	033170
[2019-10-08 오전 9:08:31] 종목(중복) :	033170
[2019-10-08 오전 9:08:32] 종목(중복) :	033170
[2019-10-08 오전 9:08:35] 종목(중복) :	033170
[2019-10-08 오전 9:08:36] 종목(중복) :	033170
[2019-10-08 오전 9:08:38] 종목(중복) :	033170
[2019-10-08 오전 9:08:42] 종목(중복) :	033170
[2019-10-08 오전 9:08:45] 종목(중복) :	033170
[2019-10-08 오전 9:08:46] 종목(중복) :	033170
[2019-10-08 오전 9:08:48] 종목(중복) :	033170
[2019-10-08 오전 9:08:49] 종목(중복) :	033170
[2019-10-08 오전 9:08:50] 종목(중복) :	033170
[2019-10-08 오전 9:08:51] 종목(중복) :	033170
[2019-10-08 오전 9:08:53] 종목(중복) :	033170
[2019-10-08 오전 9:08:54] 종목(중복) :	033170
[2019-10-08 오전 9:08:55] 종목(중복) :	033170
[2019-10-08 오전 9:08:57] 종목(중복) :	033170
[2019-10-08 오전 9:09:00] 종목(중복) :	033170
[2019-10-08 오전 9:09:00] 종목(중복) :	033180
[2019-10-08 오전 9:09:02] 종목(중복) :	096630
[2019-10-08 오전 9:09:05] 종목(중복) :	033170
[2019-10-08 오전 9:09:06] 종목(중복) :	900270
[2019-10-08 오전 9:09:10] 종목(중복) :	088290
[2019-10-08 오전 9:09:32] 종목(중복) :	096630
[2019-10-08 오전 9:09:36] 종목(중복) :	204840
[2019-10-08 오전 9:09:44] 종목(중복) :	128540
[2019-10-08 오전 9:09:50] 종목(중복) :	033180
[2019-10-08 오전 9:09:52] 종목 :	018620	우진비앤지
[2019-10-08 오전 9:09:54] 종목(중복) :	018620
[2019-10-08 오전 9:09:55] 종목(중복) :	018620
[2019-10-08 오전 9:10:00] 종목(중복) :	204840
[2019-10-08 오전 9:10:01] 종목(중복) :	084650
[2019-10-08 오전 9:10:06] 종목(중복) :	033170
[2019-10-08 오전 9:10:07] 종목(중복) :	033170
[2019-10-08 오전 9:10:07] 종목(중복) :	128540
[2019-10-08 오전 9:10:08] 종목(중복) :	033170
[2019-10-08 오전 9:10:09] 종목(중복) :	033170
[2019-10-08 오전 9:10:11] 종목(중복) :	900100
[2019-10-08 오전 9:10:11] 종목(중복) :	033170
[2019-10-08 오전 9:10:14] 종목(중복) :	128540
[2019-10-08 오전 9:10:16] 종목(중복) :	033170
[2019-10-08 오전 9:10:16] 종목(중복) :	900100
[2019-10-08 오전 9:10:18] 종목(중복) :	033170
[2019-10-08 오전 9:10:18] 종목(중복) :	128540
[2019-10-08 오전 9:10:19] 종목(중복) :	128540
[2019-10-08 오전 9:10:20] 종목(중복) :	033110
[2019-10-08 오전 9:10:25] 종목(중복) :	900100
[2019-10-08 오전 9:10:27] 종목(중복) :	128540
[2019-10-08 오전 9:10:27] 종목(중복) :	900100
[2019-10-08 오전 9:10:28] 종목(중복) :	128540
[2019-10-08 오전 9:10:31] 종목(중복) :	900100
[2019-10-08 오전 9:10:32] 종목(중복) :	128540
[2019-10-08 오전 9:10:45] 종목(중복) :	018620
[2019-10-08 오전 9:10:56] 종목 :	012340	뉴인텍
[2019-10-08 오전 9:10:56] 종목(중복) :	900100
[2019-10-08 오전 9:10:57] 종목(중복) :	900270
[2019-10-08 오전 9:10:59] 종목(중복) :	900100
[2019-10-08 오전 9:11:05] 종목(중복) :	084650
[2019-10-08 오전 9:11:08] 종목(중복) :	033180
[2019-10-08 오전 9:11:09] 종목(중복) :	033180
[2019-10-08 오전 9:11:09] 종목(중복) :	033110
[2019-10-08 오전 9:11:10] 종목(중복) :	012340
[2019-10-08 오전 9:11:15] 종목(중복) :	900270
[2019-10-08 오전 9:11:19] 종목(중복) :	204840
[2019-10-08 오전 9:11:29] 종목(중복) :	900270
[2019-10-08 오전 9:11:29] 종목(중복) :	096630
[2019-10-08 오전 9:11:30] 종목(중복) :	900270
[2019-10-08 오전 9:11:31] 종목(중복) :	900100
[2019-10-08 오전 9:11:32] 종목(중복) :	900270
[2019-10-08 오전 9:11:33] 종목(중복) :	900100
[2019-10-08 오전 9:11:34] 종목(중복) :	900270
[2019-10-08 오전 9:11:35] 종목(중복) :	900270
[2019-10-08 오전 9:11:36] 종목(중복) :	900270
[2019-10-08 오전 9:11:37] 종목(중복) :	900270
[2019-10-08 오전 9:11:38] 종목(중복) :	900270
[2019-10-08 오전 9:11:40] 종목(중복) :	900270
[2019-10-08 오전 9:11:40] 종목(중복) :	900270
[2019-10-08 오전 9:11:40] 종목(중복) :	900100
[2019-10-08 오전 9:11:43] 종목(중복) :	900270
[2019-10-08 오전 9:11:51] 종목(중복) :	096630
[2019-10-08 오전 9:11:52] 종목(중복) :	900270
[2019-10-08 오전 9:11:54] 종목(중복) :	900270
[2019-10-08 오전 9:11:55] 종목(중복) :	900270
[2019-10-08 오전 9:12:00] 종목 :	111710	남화산업
[2019-10-08 오전 9:12:08] 종목(중복) :	043910
[2019-10-08 오전 9:12:09] 종목(중복) :	204840
[2019-10-08 오전 9:12:09] 종목(중복) :	043910
[2019-10-08 오전 9:12:11] 종목(중복) :	043910
