[2019-03-26 오전 8:59:01] RQName: 계좌평가현황요청 TRCode: opw00004 메세지: [100000] 조회가 완료되었습니다.
[2019-03-26 오전 9:47:40] 종목 :	215090	한컴유니맥스
[2019-03-26 오전 9:47:53] 종목 :	214680	디알텍
[2019-03-26 오전 9:48:36] 종목 :	090710	디에스티로봇
[2019-03-26 오전 9:48:43] 종목 :	117730	티로보틱스
[2019-03-26 오전 9:48:44] 종목 :	012690	모나리자
[2019-03-26 오전 9:49:33] 종목 :	030790	동양네트웍스
[2019-03-26 오전 9:49:55] 종목 :	205470	휴마시스
[2019-03-26 오전 9:50:43] 종목 :	026890	디피씨
[2019-03-26 오전 9:50:46] 종목 :	215480	토박스코리아
[2019-03-26 오전 9:51:57] 종목 :	000890	보해양조
[2019-03-26 오전 9:52:09] 종목 :	037030	파워넷
[2019-03-26 오전 9:52:13] 종목 :	024740	한일단조
[2019-03-26 오전 9:52:36] 종목 :	009460	한창제지
[2019-03-26 오전 9:52:47] 종목 :	218150	미래생명자원
[2019-03-26 오전 9:53:14] 종목 :	011320	유니크
[2019-03-26 오전 9:53:15] 종목 :	226350	아이엠텍
[2019-03-26 오전 9:53:31] 종목 :	094940	푸른기술
[2019-03-26 오전 9:53:39] 종목 :	003560	IHQ
[2019-03-26 오전 9:53:43] 종목 :	088980	맥쿼리인프라
[2019-03-26 오전 9:54:18] 종목 :	064090	에프앤리퍼블릭
[2019-03-26 오전 9:54:24] 종목 :	184230	SGA솔루션즈
[2019-03-26 오전 9:54:54] 종목 :	009730	코센
[2019-03-26 오전 9:55:47] 종목 :	104040	대성파인텍
[2019-03-26 오전 9:55:50] 종목 :	078070	유비쿼스홀딩스
[2019-03-26 오전 9:56:30] 종목 :	197210	리드
[2019-03-26 오전 9:58:16] 종목 :	067390	아스트
[2019-03-26 오전 10:00:00] 매수(4%) :	215090	한컴유니맥스
